Code,Field,ProductDB,OfficialSource,WebsiteValue,Resolution
GL401,Size,W590 x D590 x H1010 mm,W590 x D650 x H1010 mm,W590 x D650 x H1010 mm,OFFICIAL_SOURCE wins for website; ProductDB unchanged
GL404,Size,W540 x D585 x H875 mm,W535 x D575 x H875 mm,W535 x D575 x H875 mm,OFFICIAL_SOURCE wins for website; ProductDB unchanged
GL423,Size,W535 x D640 x H970 mm,W565 x D580 x H970 mm,W565 x D580 x H970 mm,OFFICIAL_SOURCE wins for website; ProductDB unchanged
GL430,Size,W560 x D600 x H1075 mm,W560 x D620 x H1075 mm,W560 x D620 x H1075 mm,OFFICIAL_SOURCE wins for website; ProductDB unchanged
