Code,ProductName,CurrentImage,CurrentImageType,ExpectedImage,Source,Dimensions,WatermarkStatus,CorrectProductMatch,FinalImage
TQ05,Ghế giám đốc TQ05,/images/categories/sub/ghe-giam-doc.webp,CATEGORY_IMAGE,https://noithathoaphat.com/Uploads/images/ghe-van-phong/ghe-giam-doc/ghe-giam-doc-TQ05.jpg,MASTER_IMAGE_DB,600x600,PASS,YES,/assets/products/approved/TQ05.webp
TQ01,Ghế giám đốc TQ01,/images/categories/sub/ghe-luoi.webp,CATEGORY_IMAGE,https://noithathoaphat.com/Uploads/images/ghe-van-phong/ghe-giam-doc/ghe-giam-doc-TQ01.jpg,MASTER_IMAGE_DB,600x600,PASS,YES,/assets/products/approved/TQ01.webp
DT1890V2,Bàn giám đốc Veneer DT1890V2,/images/categories/sub/ban-cum-module.webp,CATEGORY_IMAGE,https://noithathoaphat.com/Uploads/images/ban-giam-doc/ban-giam-doc-go/ban-giam-doc-dt1890v2(1).jpg,MASTER_IMAGE_DB,700x700,PASS,YES,/assets/products/approved/DT1890V2.webp
DT2010V2,Bàn giám đốc DT2010V2,/images/categories/sub/ban-hop-nho.webp,CATEGORY_IMAGE,https://noithathoaphat.com/Uploads/images/ban-giam-doc/ban-giam-doc-go/Ban-giam-doc-DT2010V2.jpg,APPROVED_LOCAL_EXACT_PRODUCT_ASSET,600x600,PASS,YES,/assets/products/approved/DT2010V2.webp
TU09K7CK,Tủ sắt hồ sơ 6 khoang TU09K7CK,/images/categories/sub/tu-tai-lieu.webp,CATEGORY_IMAGE,https://noithathoaphat.com/Uploads/images/tu-sat/tu-ho-so-sat/tu-ho-so-TU09K7CK.jpg,MASTER_IMAGE_DB,600x600,PASS,YES,/assets/products/approved/TU09K7CK.webp
TU983-3KS,Tủ locker khóa số 9 ngăn TU983-3KS,/images/categories/sub/tu-locker.webp,CATEGORY_IMAGE,https://noithathoaphat.com/Uploads/images/tu-sat/tu-locker/tu-locker-khoa-so-tu983-3ks.jpg,MASTER_IMAGE_DB,700x700,PASS,YES,/assets/products/approved/TU983-3KS.webp
GMG101A-2,Ghế mầm non GMG101A-2,/images/categories/sub/ban-giao-vien.webp,CATEGORY_IMAGE,https://hoaphatnoithat.vn/upload/sanpham/ghe-gmg101a-2-2256-0.jpg,APPROVED_LOCAL_EXACT_PRODUCT_ASSET,470x470,PASS,YES,/assets/products/approved/GMG101A-2.webp
BMG101A-2,Bàn mầm non BMG101A-2,/images/categories/sub/sofa-van-phong.webp,CATEGORY_IMAGE,https://noithatduckhang.com/wp-content/uploads/2021/12/ban-mau-giao-hoa-phat-bmg-101a-2-1.jpg.webp,APPROVED_LOCAL_EXACT_PRODUCT_ASSET,470x470,PASS,YES,/assets/products/approved/BMG101A-2.webp
