Code,ProductName,SourceBrand,Category,Subcategory,Image,ImageDimension,OfficialSource,EnrichmentStatus
TQ01,Ghế giám đốc The One TQ01,THE ONE,Office Chair,Executive Chair,/assets/products/approved/TQ01.webp,600x600,https://theone.vn/san-pham/ghe-tq01,PASS
TQ05,Ghế giám đốc The One TQ05,THE ONE,Office Chair,Executive Chair,/assets/products/approved/TQ05.webp,600x600,https://theone.vn/san-pham/ghe-tq05,PASS
TQ26,Ghế tĩnh giám đốc The One TQ26,THE ONE,Office Chair,Executive Chair,/assets/v10-01/executive-chair-theone/products/TQ26.jpg,580x580,https://theone.vn/san-pham/ghe-tq26,PASS
TQ27,Ghế lãnh đạo The One TQ27,THE ONE,Office Chair,Executive Chair,/assets/v10-01/executive-chair-theone/products/TQ27.jpg,700x700,https://theone.vn/san-pham/ghe-tq27,PASS
TQ30,Ghế giám đốc da The One TQ30,THE ONE,Office Chair,Executive Chair,/assets/v10-01/executive-chair-theone/products/TQ30.jpg,600x600,https://theone.vn/san-pham/ghe-tq30,PASS
TQ34,Ghế giám đốc ngả chân The One TQ34,THE ONE,Office Chair,Executive Chair,/assets/v10-01/executive-chair-theone/products/TQ34.jpg,700x700,https://theone.vn/san-pham/ghe-tq34,PASS
TQ38,Ghế giám đốc da The One TQ38,THE ONE,Office Chair,Executive Chair,/assets/v10-01/executive-chair-theone/products/TQ38.jpg,600x600,https://theone.vn/san-pham/ghe-tq38,PASS
TQ39,Ghế giám đốc cao cấp The One TQ39,THE ONE,Office Chair,Executive Chair,/assets/v10-01/executive-chair-theone/products/TQ39.jpg,600x600,https://theone.vn/san-pham/ghe-tq39,PASS
